ACCURA    Accuracy
MOB_30F   Well thank you, Umberto. Nobody's said that to me since I left jail. I'll see you around.
MOB_33A   Tommy, it's Phil, now cut out all the reminiscing crap and listen to me, you hear?
MOB_33B   Good. I got me some extra strength boomshine nearing fermentation time and I was wondering if you'd fancy having a shot.
MOB_33C   Seriously, Tommy, if you like a drink, or if you need to strip paint, this stuff'll make a man out of you.
MOB_33D   Sure did out of me, even though I can't see out of one eye. I'll be waiting for you, y'hear.
MOB_34A   Tommy, I really enjoyed working with you. Ain't had so much fun since the ridge in Nam, pal.
MOB_34B   Anyhows, you need anything, you call on me, you hear?
MOB_34C   I always remember those I served with,
MOB_34D   and I am sure I can help you out, you hear?
MOB_35A   Tommy, the wound is healing well. Funny thing is,
MOB_35B   I have fought in 6 battle zones and always walked away without a scratch, and now this!
MOB_35C   One armed Phil. Still, I got me a healthy selection of one handed fire power so I'll never be unarmed Phil, you hear.
MOB_35D   Any way son, cut out the sentimental crap and go buy yourself a drink, you hear!
MOB_36A   Tommy, it's Phil, I want to thank you for helping me out back there son,
MOB_36B   Damn Charlie, he'll always ambush you somewhere or other,
MOB_36C   Anyway the wound is healing well, and it means I'll no longer be defrauding the government on my disability check.
MOB_40A   Hey Tommy, it's Sonny. How's the sun tan?
MOB_40B   I ain't got no sun tan.
MOB_40C   Well, you ain't got my money, either, so I'm wondering to myself,
MOB_40D   what are you doing? So, tell me, Tommy, what are you doing?
MOB_40E   I'm looking for the money, Sonny. Don't worry.
MOB_40F   I am worrying, Tommy, that's my style,
MOB_40G   because I seem to have this problem in my life with unreliable people.
MOB_40H   Don't be an unreliable person, Tommy, please.
MOB_40I   Do us both a favor. I'm looking forward to hearing from you.
MOB_41A   Tommy, remember me?
MOB_41B   Hello Sonny.
MOB_41C   That's right, Sonny. We're old friends,
MOB_41D   You never write me, you never call. Don't you want to be friends no more?
MOB_41E   I've been busy trying to sort things out. You didn't give me a lot of support down here, Sonny.
MOB_41F   Oh, my fault is it? We'll I've heard you been busy all right.
MOB_41G   Busy killing drugs barons. Busy taking over.
MOB_41H   Don't forget about us, Tommy, 'cause I can assure you, I ain't forgotten about you.
MOB_42A   Tommy.
MOB_42B   Sonny.
MOB_42C   Obviously you are suffering from hearing problems, so I'll try again.
MOB_42D   Where's the goddamned money, where's the goddamned stuff, and where's my cut of your new action?
MOB_42E   You are making an idiot out of me, Tommy, and I'm not laughing yet.
MOB_43A   Tommy, Tommy, Tommy, I had Sonny on the phone, ok, are you with me?.
MOB_43B   I don't know about you, but there's something about a man threatening to murder my family
MOB_43C   which really scares the crap out of me. What are you going to do?
MOB_43D   Ken, take it easy.
MOB_43E   I AM calm, calm as a man can be when he's fearing for his life!
MOB_43F   Stay off the idiot fuel and look after yourself.
MOB_43G   No one's gonna take us out. I'll see you later.
MOB_43H   I am calm. Don't I sound calm? Must be impending death that is doing this to my voice.
MOB_47A   Tommy, Lance, we got big problems. Come down here. Right away.
MOB_62A   Tommy, is Ricardo Diaz, I want to thank you for looking out for me my man.
MOB_62B   I ask that prick Cortez, he say you the real deal, my friend, why you not come see me.
MOB_62C   I need a guy like you. All I have now is dickheads,
MOB_62D   dickheads everywhere, yo. I make you real rich.
MOB_63A   Tommy, it's Earnest. Earnest Kelly.
MOB_63B   How are you?
MOB_63C   I'm doing okay. I'll need a stick to walk, but I should be back at work soon enough.
MOB_63D   Good.
MOB_63E   I heard about Lance. What a little prick, eh?
MOB_63F   Yes.
MOB_63G   Never trust a man who walks the streets in his pajamas. That's what I say. Glad you killed him. I hope it was painful for the prick.
MOB_63H   I think it was. I just didn't think he was like that...
MOB_63I   Tommy, for a raging lunatic, you're pretty naive. I'll be back at work soon, teach you a thing or two about life, you hear.
MOB_63J   Take your time, Earnest. Look after yourself.
MOB_66A   Tommy, Tommy why you coming back here for?
MOB_66B   I tell you we don't want to see you around here no more.
MOB_67A   Tommy, me thinks you should be staying away, you hear?
MOB_67B   The Haitian boys not too 'appy with you.
MOB_68A   Tommy son, have I got a surprise for you
MOB_68B   I'm down at the recording studios with some major artists
MOB_68C   Why don't you pay us a visit?
MOB_68D   You know it makes sense, dontcha? See ya later.
MOB_70A   Tommy, it's me, Colonel Cortez. Look senor, I believe you are a man who can get things done. So please help me.
MOB_70B   You can find me at the boat.
MOB_72A   Tommy, it's me, Lance. Keep your mouth shut there Tommy, 'cause I ain't got time to talk.
MOB_72B   I ain't interested in what you got to say. Why should I be? You don't care about me, do you?
MOB_72C   You gotta look after me a bit better. Give me a fair slice. You know...
MOB_72D   Tommy... oh, look, man, I'm sorry. It's just that...
MOB_72E   People patronize me all my life, treat me like a little kid.
MOB_72F   My brother would do that. Please, man, don't do that.
MOB_72G   I gotta go.
MOB_73A   Tommy, it's Steve.
MOB_73B   Hey, Steve.
MOB_73C   Hey indeed, genius. You're a marvel! I'm a marvel! They love us. We are re-writing the record books, pal.
MOB_73D   We are talking major awards here. Finally, I can put my dad in a home an tell him to shut up.
MOB_73E   Eeer, that's cool, Steve.
MOB_73F   Cool? It's hot, man. Hot. H. O. T. He never believed in me. Never thought I was an artist, and now I've made it.
MOB_73G   I'm the best damn skin flick director of all time, my friend. I just wanted to say, it's a pleasure to have met you.
MOB_73H   Thanks steve.
MOB_73I   I love you, baby. Don't go changing on me, you hear.
MOB_73J   I hear you. Good bye, Steve.
MOB_95    Get to the payphone at location.
MOB_95A   Get to the payphone in Little Havana.
MOB_96    Get to the payphone at location.
MOB_96A   Get to the payphone at the airport terminal.
MOB_97    Get to the payphone at location.
MOB_98    Get to the payphone at location.
MOB_98A   Get to the pay phone in Vice Point.
MOB_99    Get to the payphone at location.
MOB_99A   Get to the payphone next to the mall in Washington.
MONTAX    Cash made in taxi
MOONBM    Moonbeam
MP5       MP
MULE      Mule
MXCARD    Max. INSANE Jump dist. (ft)
MXCARDM   Max. INSANE Jump dist. (m)
MXCARJ    Max. INSANE Jump height (ft)
MXCARJM   Max. INSANE Jump height (m)
MXFLIP    Max. INSANE Jump flips
MXJUMP    Max. INSANE Jump rotation
M_FAIL    MISSION FAILED!
M_PASS    MISSION PASSED! $~1~
NBMNBUY   El Swanko Casa purchased: $~1~
NBMN_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase El Swanko Casa for $~1~
NBMN_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase El Swanko Casa for $~1~
NBMN_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase El Swanko Casa for $~1~
NEWCONT   New ~h~Contact Point ~w~opened at the marina in Ocean Beach!!
NEW_REC   ~g~New Record Set!! ~w~~1~ minutes ~g~and ~w~~1~ seconds.
#UpdatedSCM edited
NITRO     Taxi Driver mission complete. All taxi's now have a boost jump! Just press the horn button.
NMISON    Mission attempts
NOCD      The disc tray is empty. Please insert disc.
NOMONEY   ~g~You need more cash!
NOSTUC    No INSANE stunts completed
NOTAXI    ~g~You need a Kaufman Cab to activate this mission.
NOUNIF    Unique Jumps completed
NOV       Nov
NO_PCCD   Please insert your GTA Vice City CD, or press ESC to cancel
NUMBER    ~1~
NUMSHV    Safehouse visits
OCEANIC   Oceanic
OCHEBUY   Ocean Heights Apartment purchased: $~1~
OCHE_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Ocean Heights Apartment for $~1~
OCHE_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Ocean Heights Apartment for $~1~
OCHE_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Ocean Heights Apartment for $~1~
OCT       Oct
OPENCD    The disc tray is open. Please close the disc tray.
OUTFT1    Street
#UpdatedSCM edited
OUTFT10   Black Tracksuit
#UpdatedSCM edited
OUTFT11   Red Tracksuit
OUTFT12   Frankie
OUTFT13   MC Tommy
OUTFT2    Soiree
OUTFT3    Coveralls
OUTFT4    Country Club
#UpdatedSCM edited
OUTFT5    Cuban Dress
OUTFT6    Cop
#UpdatedSCM edited
OUTFT7    Bank Robber
OUTFT8    Casual
#UpdatedSCM edited
OUTFT9    Mr. Vercetti
PACKER    Packer
PAGEB11   Flamethrower delivered to hideout.
PAGEB13   Health delivered to hideout
PAGEB14   Adrenaline delivered to hideout
PAGE_00   .
PAGE_01   Kill ~1~ Gang Members in 2 Minutes!
PAGE_02   Destroy ~1~ Vehicles in 2 Minutes!
PAGE_03   Drive-by and Waste ~1~ Gang Members in 2 Minutes!
PAGE_04   Runover and Kill ~1~ Gang Members in 2 Minutes!
PAGE_05   Gun Down ~1~ Gang Members in 2 Minutes!
PASDRO    Passengers dropped off
PATRIOT   Patriot
PBOAT_1   Press the ~h~~k~~PED_FIREWEAPON~ ~w~button to fire the boat cannons.
PBOAT_2   Press the ~h~~k~~PED_FIREWEAPON~ ~w~button to fire the boat cannons.
#UpdatedSCM edited
PCJ600    PCJ-600
PCRESRT   Starting new game. Please wait...
PEREN     Perennial
PERPIC    Hidden Packages found
PER_COM   Percentage completed
PE_WAST   People you've wasted
PE_WSOT   People wasted by others
PHIL      PHIL MISSIONS
PHIL1     PHIL MISSION 1
PHIL2     PHIL MISSION 2
PHIL_1    Gun Runner
PHIL_2    Boomshine Saigon
PHOENIX   Phoenix
PICK1     Body Armor delivered to Ocean View Hotel!
PICK10    Hunter now available from the Army Barracks!
PICK2     .357 delivered to Ocean View Hotel!
PICK3     Chainsaw delivered to Ocean View Hotel!
PICK4     Flame Thrower delivered to Ocean View Hotel!
PICK5     .308 Sniper delivered to Ocean View Hotel!
PICK6     Minigun delivered to Ocean View Hotel!
PICK7     Rocket Launcher delivered to Ocean View Hotel!
#UpdatedSCM edited
PICK8     Sea Sparrow now available from Vercetti Estate on Starfish Island!
#UpdatedSCM only
PICK8B    Sea Sparrow now available from Diaz's Mansion on Starfish Island!
#UpdatedSCM edited
PICK9     Rhino tank now available from Fort Baxter Air Base!
PISTOL    Pistol
#UpdatedSCM edited
PIZ1_A    THE WELL STACKED PIZZA
PIZZABO   Pizza Boy
PLANE_4   Use the ~h~~k~~VEHICLE_ACCELERATE~~w~ button to accelerate, Left and right to turn.
PLANE_H   Use the ~h~~k~~VEHICLE_ACCELERATE~~w~ button to accelerate, Left and right to turn.
PL_STAT   Player stats
POLICAR   Police
POLMAV    Police Maverick
POL_HQ    VCPD HQ
PONY      Pony
POR1_03   ~r~Candy is dead!
POR1_19   Hey!
PORN      PORN MISSIONS
PORN1     PORN MISSION 1
PORN2     PORN MISSION 2
PORN3     PORN MISSION 3
PORN4     PORN MISSION 4
PORNBUY   Film Studio purchased: $~1~
PORNI     Prawn Island
PORN_1    Recruitment Drive
PORN_2    Dildo Dodo
PORN_3    Martha's Mug Shot
PORN_4    G-spotlight
PORN_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Film Studios for $~1~
PORN_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Film Studios for $~1~
PORN_NO   You cannot buy the Film Studio at this time, come back later.
PORN_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Film Studios for $~1~
PQUINS    Perfect quadruple insane stunt
PREDATR   Predator
PRINST    Perfect insane stunt
PRNT_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Print Works for $~1~
PRNT_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Print Works for $~1~
PRNT_NO   You cannot buy the Print Works at this time, come back later.
PRNT_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Print Works for $~1~
PROPOWN   Property Owned
PROP_1    You don't have enough cash for this property
PROP_2    You cannot buy property whilst on a mission
PROT      PROTECTION MISSIONS
PRTRST    Perfect triple insane stunt
PU_CF1    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to pick up this weapon. It will replace any weapon you have of the same type.
PU_CF3    Press the ~h~~k~~VEHICLE_ENTER_EXIT~ ~w~button to replace current weapon in this slot.
PU_CF4    Press the ~h~~k~~VEHICLE_ENTER_EXIT~ ~w~button to replace current weapon in this slot.
PU_MONY   You don't have enough cash.
PYTHON    .357
QUINST    Quadruple insane stunt
RACE1     ~g~3..2..1.. GO GO GO!
RACE2     ~g~3
RACE3     ~g~2
RACE4     ~g~1
RACE5     ~g~GO!
RACEFA    ~r~You failed to win the race!
RACES     TIME:
RACES17   New best time: ~1~:~1~
RACES18   YOU HAVE WON: $~1~
RACES20   New best time: ~1~:0~1~
RACES21   Time: ~1~:0~1~
RACES_4   3
RACES_5   2
RACES_6   1
RACES_7   GO!
RACES_9   Time: ~1~:~1~
RACETM    ~b~RACE TIME: ~1~:~1~
RACETM2   ~b~RACE TIME: ~1~:0~1~
RAMPAGE   RAMPAGE!!
RAMP_A    ALL RAMPAGES COMPLETED!!
RAMP_F    RAMPAGE FAILED!!
RAMP_P    RAMPAGE PASSED!!
RANCHER   Rancher
#UpdatedSCM edited
RANGE     Shooting Range
RATNG1    Upstanding Citizen
RATNG10   Rat
RATNG11   Leece
RATNG12   Scam Artist
RATNG13   Trickster
RATNG14   Numbers Runner
RATNG15   Hustler
RATNG16   Bully
RATNG17   Riff-Raff
RATNG18   Scalawag
RATNG19   Ruffian
RATNG2    Nobody Special
RATNG20   Outlaw
RATNG21   Thug
RATNG22   Drop Man
RATNG23   SA Goon
RATNG24   Goon
RATNG25   Jailbird
RATNG26   Ex-Con
RATNG27   Felon
RATNG28   Bag Man
RATNG29   Wiseguy
RATNG3    Litterer
RATNG30   Wheelman
RATNG31   Hired Muscle
RATNG32   Hatchetman
RATNG33   Headhunter
RATNG34   Enforcer
RATNG35   Ronin
RATNG36   Fixer
RATNG37   Hitman
RATNG38   Associate
RATNG39   Butcher
RATNG4    Shoplifter
RATNG40   Cleaner
RATNG41   Assassin
RATNG42   Consigliere
RATNG43   Made Man
RATNG44   Right-Hand Man
RATNG45   Executioner
RATNG46   Lieutenant
RATNG47   Underboss
RATNG48   Capo
RATNG49   Boss
RATNG5    Vandal
RATNG50   Kingpin
RATNG51   Don
RATNG52   Godfather
RATNG53   Untrustworthy
RATNG54   Embarrassment
RATNG55   Hacker
RATNG56   Cheater
RATNG57   Total Liar
RATNG6    Do boy
RATNG7    Pickpocket
RATNG8    Clepto
RATNG9    Snitch
#RBM1_11   NO LONGER NEEDED
#RBM1_3    NO LONGER NEEDED
RBM1_6    ~g~Take Mercedes and the 'Love Juice' to the band at the recording studio.
RBM2_6    ~g~Wow! She's a bloke, stop him!
RBM3_5    ~g~Take Love Fist to the venue.
RC4       'RUMPO RAMPAGE'
RCBANDT   RC Bandit
RCBARON   RC Baron
RCCANX    ~r~RC plane cancelled.
#RCH1_1    NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED
RCH1_10   ~b~TOTAL TIME: ~1~:0~1~
RCH1_11   RC Raider Pickup
RCH1_2    ~g~The CHECKPOINTS are scattered throughout the airport.
#RCH1_3    NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED NO LONGER NEEDED
RCH1_5    Time:
RCH1_6    ~g~Use the RC Helicopter to collect checkpoints scattered throughout the airport.
RCH1_9    ~b~TOTAL TIME: ~1~:~1~
RCPL1_1   ~g~Compete in a CHECKPOINT RACE with 3 other RC Baron's
RCPL1_2   ~g~You must go through the ~o~CENTRE CORONA ~g~to successfully pass a checkpoint.
RCPL1_3   ~g~Get to the starting grid now!
RCPL1_7   RC Baron Race
RCR1_3    ~g~If you wish to quit this mission press the ~h~~k~~PED_FIREWEAPON~ ~g~button to detonate your RC car.
RCR1_5    RC Bandit Race
RCRAIDE   RC Raider
RCRC1_2   ~g~Get to the starting grid now!
RCRC1_4   ~g~3
RCRC1_5   ~g~2
RCRC1_6   ~g~1
RCRC1_7   ~g~GO!
RCRC1_8   ~g~Race time: ~1~ seconds
REEFER    Reefer
REGINA    Regina
RELOAD    ~g~You have won the fast reload ability!
REPLAY    REPLAY
RESTART   Starting new game
REWARD    REWARD $~1~
RHINO     Rhino
RIO       Rio
ROCK      THE ROCKBAND GANG MISSIONS
ROCK3     ROCKBAND MISSION 3
ROCK_1    Love Juice
ROCK_2    Psycho Killer
ROCK_3    Publicity Tour
ROCK_4    Love Fist!!
ROK1_1E   ~g~It'll cost more than you've got!
ROK1_1F   ~g~Come back when you got the money.
ROK1_4    ~g~Ok, I think this is what you were after...
ROK3_72   Love Fist!
ROMERO    Romero's Hearse
RUGER     Kruger
RUMPO     Rumpo
R_TIME    RACE TIME:
SABRE     Sabre
SABRETU   Sabre Turbo
SANCHEZ   Sanchez
SANDKIN   Sandking
SAVE1     Walk into the corona to ~h~Save the game~w~. You cannot save during a mission.
SAVE2     Any vehicle left in this garage will be stored when the game is saved.
SCARF     Apartment 3c
SCREWD    Screwdriver
SEAGULL   Seagulls Sniped
SEASPAR   Sea Sparrow
SECOND    ~b~2nd
SECURI    Securicar
SEG3_1    TIME:
SEG3_10   ~g~You hit the target! 2 more to go.
SEG3_11   ~g~You hit the target! Just 1 more to go!
SEG3_12   ~r~You missed the target! Go get a bomb!
SEG3_13   ~g~Drop the bomb at a target zone.
SEG3_14   ~r~You ran out of time and failed to demolish the building.
SEG3_15   ~r~Your RC Raider has been destroyed! How you gonna transport the bombs now?
SEG3_2    ~g~Get to the van that contains the RC Raider and remote timed bombs.
SEG3_3    ~g~You must use the RC RAIDER to transport 4 bombs to 4 target zones on the building site.
SEG3_4    ~g~You can pick up bombs by simply piloting your RC Raider adjacent to each one, to drop a bomb press the ~h~~k~~PED_FIREWEAPON~ ~g~button.
SEG3_6    ~g~To successfully hit a target zone, you must drop the bomb in the area represented by the ~q~pink marker~w~. You can drop the bombs in any order.
SEG3_7    ~g~Once you have dropped the FIRST bomb successfully in a target zone the detonation timer will start; you must then drop all the bombs within this time period.
SEG3_8    ~g~All 4 bombs must be located at the 4 target zones to pass the mission and demolish the building.
SEG3_9    ~g~You hit the target! 3 more to go.
SENTINL   Sentinel
SENTXS    Sentinel XS
SEP       Sept
SERG3_5   ~g~You can only carry one bomb at a time and cannot pick up successfully planted bombs.
SET1EN    SetUp 1. Enabled
SHOTGN1   Shotgun
SHOTGN2   S.P.A.S. 12
SHOTGN3   Stubby shotgun
SHO_RAN   Shooting Range Rank
SKIMMER   Skimmer
SKUMBUY   Skumole Shack purchased: $~1~
SKUM_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Skumole Shack for $~1~
SKUM_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Skumole Shack for $~1~
SKUM_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase Skumole Shack for $~1~
SNIPE     Sniper rifle
SPAND     Spand Express
SPARROW   Sparrow
SPEEDER   Speeder
SPRAYIN   Sprayings
SQUALO    Squalo
STALION   Stallion
STARI     Starfish Island
STFT_01   Fastest time on 'Alloy Wheels Of Steel'
STFT_02   Fastest time on 'The Driver'
STFT_03   Fastest time in Dirt Ring
STFT_04   Fastest time on RC Plane Race
STFT_05   Fastest time on RC Car Race
STFT_06   Fastest time on RC helicopter Pickup
STFT_07   Fastest time on 'Terminal Velocity'
STFT_08   Fastest time on 'Ocean Drive'
STFT_09   Fastest time on 'Border Run'
STFT_10   Fastest time on 'Capital Cruise'
STFT_11   Fastest time on 'Tour!'
STFT_12   Fastest time on 'V.C. Endurance'
STFT_13   Fastest time on Downtown Chopper Checkpoint
STFT_14   Fastest time on Ocean Beach Chopper Checkpoint
STFT_15   Fastest time on Vice Point Chopper Checkpoint
STFT_16   Fastest time on Little Haiti Chopper Checkpoint
STFT_17   Fastest time on 'PCJ Playground'
STFT_18   Fastest time on 'Trial By Dirt'
STFT_19   Fastest time on 'Test Track'
STFT_20   Fastest time for 'Cone Crazy'
STFT_21   Fastest time in Hotring
STFT_22   Fastest lap time in Hotring
STFT_23   Fastest time for Checkpoint Charlie
#UpdatedSCM only
STFT_24   Fastest time for "Faggio Freakout"
STHC_01   Highest score for Shooter
STHC_02   Best Percentage of hits for Shooter
STHC_03   Number of drug deals made
STHC_04   Highest score with Keepie-Uppy beach ball
STHC_05   Hotring Best Result
STINGER   Stinger
STOCK     ~r~out of stock
STPR_1    The Malibu
STPR_10   Links View Apartment
STPR_11   El Swanko Casa
STPR_12   1102 Washington Street
STPR_13   Ocean Heights Apartment
STPR_14   Skumole Shack
STPR_15   Hyman Condo
STPR_2    Print Works
STPR_3    Film Studio
STPR_4    Ice Cream Factory
STPR_5    Car Showroom
STPR_6    Taxi Company
STPR_7    Boatyard
STPR_8    Pole Position Club
STPR_9    3321 Vice Point
STRETCH   Stretch
STRIP     The 'Pole Position Club'
STRIP_1   ~r~Not enough cash, you cheap sleazebag.
STRPBUY   Pole Position Club purchased: $~1~
STRP_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Pole Position Club for $~1~
STRP_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Pole Position Club for $~1~
STRP_NO   You cannot buy the Stripclub at this time, come back later.
STRP_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Pole Position Club for $~1~
ST_2WHD   Longest 2 wheels distance (m)
ST_2WHE   Longest 2 wheels time (secs)
ST_ASSI   Assassination Contracts Completed
ST_AUTO   Auto Repair and Painting Budget
ST_BRK    Number of bloodring kills
ST_DAMA   Property Destroyed
ST_DRWN   Fishes Fed
ST_FASH   Fashion Budget
ST_FAVR   Favorite radio station
ST_FAVV   Favorite vehicle
ST_FTIM   Flight hours
ST_GANG   Least favorite gang
ST_GARB   Garbage Pickups Made
ST_GNG1   Cubans
ST_GNG2   Haitians
ST_GNG3   Streetwannabe's
ST_GNG4   Diaz's gang
ST_GNG5   Security guards
ST_GNG6   Biker gang
ST_GNG7   Vercetti gang
ST_GNG8   Golfers
ST_HEAD   Number of headshots
ST_ICEC   'Ice Cream' Sold
ST_LOAN   Visits From Loan Sharks
ST_LTBR   Longest time in bloodring (secs)
ST_MOVI   Movie Stunts
ST_PHOT   Photographs Taken
ST_PIZZ   Pizza's Delivered
ST_PR01   Flyboy
ST_PR02   Aircraftman
ST_PR03   Pilot Officer
ST_PR04   Corporal
ST_PR05   Lieutenant
ST_PR06   Sergeant
ST_PR07   Captain
ST_PR08   Biggs
ST_PR09   Wedge
ST_PR10   Red Baron
ST_PR11   Goose
ST_PR12   Viper
ST_PR13   Jester
ST_PR14   Chappy
ST_PR15   Iceman
ST_PR16   Maverick
ST_PR17   Noops
ST_PR18   Air Chief Marshal
ST_PR19   Ace
ST_PRAN   Pilot Ranking
ST_PROP   Property Budget
ST_RAN0   Learner
ST_RAN1   Navigator
ST_RAN2   Co Pilot
ST_RAN3   Junior
ST_RAN4   Competent
ST_RAN5   Senior
ST_RAN6   Ace
ST_RAN7   Red baron
ST_STAR   Total number of wanted stars attained
ST_STGN   Total number of wanted stars evaded
ST_STOD   Longest Stoppie distance (m)
ST_STOP   Longest Stoppie time (secs)
ST_STOR   Stores Knocked Off
ST_TIME   Playing Time
ST_WEAP   Weapon Budget
ST_WHED   Longest Wheelie distance (m)
ST_WHEE   Longest Wheelie time (secs)
ST_WSTR   least favorite radio station
SUNSHIN   Sunshine Autos
#UpdatedSCM edited
S_PROMP   When not on a mission you can save your progress by collecting the ~h~cassette tape pickup - time will advance by 6 hours.
T4X4_1    'PCJ Playground'
T4X4_3    'GRIPPED!'
T4X4_F    ~r~You bailed! Too tough for you?!
TAX2_4    Go on, Tommy.
TAX2_5    Beat the hell out of him.
TAX2_6    He hasn't even got a license.
TAX2_7    Damn limo services.
TAXI      Taxi
TAXI2     ~r~You're out of time!
TAXIBUY   Taxi Firm purchased: $~1~
TAXI_1    V.I.P.
TAXI_2    Friendly Rivalry
TAXI_3    Cabmaggedon
TAXI_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Taxi Company for $~1~
TAXI_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Taxi Company for $~1~
TAXI_M    'TAXI DRIVER'
TAXI_NO   You cannot buy the Taxi Company at this time, come back later.
TAXI_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Taxi Company for $~1~
TAXSHRT   ~g~You can use this Kaufman Cab to take you to destinations instead of driving. It will cost you $9.
TAXW1_5   ~g~You need to be in a Kaufman cab!
TAXW3_1   ~g~Go and pick up Mercedes.
TAXWAR    TAXI WAR MISSIONS
TAX_1     Kaufman Cabs
TEC9      Tec 9
TEX1_5    ~r~He got away!
TEX3_9    ~g~Pickup a bomb by maneuvering the RC helicopter next to it.
TEXTXYZ   Writing coordinates to file...
TEX_1     Four Iron
TEX_2     Two Bit Hit
TEX_3     Demolition Man
THIRD     ~b~3rd
TIMER     This is a timed mission, you must complete it before the timer counts down to zero.
TMANS     Vercetti Estate
TM_BUST   Times busted
TM_DED    Hospital visits
TOPFUN    Top Fun
TOP_SHO   Top Shooting Range Score
TOTDISM   Total distance traveled (m)
TOT_DIS   Total distance traveled (miles)
TRASHM    Trashmaster
TRINST    Triple insane stunt
TROPIC    Tropic
TSCORE    EARNINGS: $~1~
#UpdatedSCM edited
TTUTOR    Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle taxi driver missions on or off.
#UpdatedSCM edited
TTUTOR2   Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle taxi driver missions on or off.
TYREPOP   Tires popped with gunfire
TYRESLA   Tires slashed with a blade
UMBERTO   Cafe Robina
USJ       UNIQUE STUNT BONUS!
USJ_ALL   ALL UNIQUE STUNTS COMPLETED!
UZI       Uz-1
VCNMAV    VCN Maverick
#UpdatedSCM entry
VCPDCHE   VCPD Cheetah
VCPTBUY   3321 Vice Point purchased: $~1~
VCPT_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 3321 Vice Point for $~1~
VCPT_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 3321 Vice Point for $~1~
VCPT_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 3321 Vice Point for $~1~
VICE_C    Vice City
VIRGO     Virgo
VOODOO    Voodoo
WALTON    Walton
WANT_A    You will only be arrested if you have a ~h~wanted level.
WANT_B    Your ~h~wanted level~w~ is represented by the row of stars in the top right of the screen.
WANT_C    You now have a ~h~wanted level~w~ of one...
WANT_D    two...
WANT_E    three...
WANT_F    As your ~h~wanted level~w~ increases you will attract more powerful forms of law enforcement.
WANT_G    When you are ~h~'busted'~w~ you are returned to the nearest police station.
WANT_H    The cops will take all your weapons and some of your cash as a bribe.
WANT_I    Any mission you were on will be failed.
WANT_J    You will find ways of reducing your wanted level the more you play.
#UpdatedSCM edited
WANT_K    If you are in a vehicle, ~h~SPRAY SHOPS~w~ will ~h~clear your wanted level.
WANT_L    Your wanted level has been suspended, if you commit a crime whilst the stars are flashing your full wanted level will be reinstated.
WASHBUY   1102 Washington Street purchased: $~1~
WASHING   Washington
WASH_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 1102 Washington Street for $~1~
WASH_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 1102 Washington Street for $~1~
WASH_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase 1102 Washington Street for $~1~
WEATHE1   FORCE WEATHER SUNNY
WEATHE2   FORCE WEATHER EXTRA SUNNY
WEATHE3   FORCE WEATHER CLOUDY
WEATHE4   FORCE WEATHER RAINY
WEATHE5   FORCE WEATHER FOGGY
WEATHE6   WEATHER NORMAL
WELCOME   WELCOME TO
WHEEL01   TWO WHEELS DOUBLE BONUS: $ ~1~ Distance: ~1~.~1~m Time: ~1~ seconds
